cell_index,kind,pi_label,target_pi,target_depth,accuracy,alpha,true_M,pi_max
0,construction_null,low,0.005,0.0,0.6622875673023038,0.05156613662952864,2.2985086056692694e-16,0.005000000000000025
1,construction_null,medium,0.015,0.0,0.720315636488471,0.11014482317330819,-2.0816681711721685e-17,0.015000000000000041
2,construction_null,high,0.03,0.0,0.7714326760071257,0.17301041468281347,-1.1449174941446927e-16,0.030000000000000006
3,tier1,low,0.005,0.1,0.7340408514101385,0.5439691601199367,-0.0999999999999999,0.0050000000000000044
4,tier1,low,0.005,0.15,0.7705027210418152,0.6586229854507824,-0.14999999999999997,0.005000000000000011
5,tier1,low,0.005,0.2,0.8173765523354574,0.7520135931018876,-0.19999999999999996,0.005000000000000053
6,tier1,medium,0.015,0.1,0.8061376728013806,0.5391321410253184,-0.1000000000000002,0.014999999999999979
7,tier1,medium,0.015,0.15,0.850476144171393,0.6483642277516335,-0.14999999999999997,0.015000000000000006
8,tier1,medium,0.015,0.2,0.9053019089353825,0.73706241132292,-0.19999999999999987,0.015000000000000013
9,tier1,high,0.03,0.1,0.8629991248992797,0.5376049876701072,-0.09999999999999992,0.03
10,tier1,high,0.03,0.15,0.9107344703492154,0.6388380468140072,-0.1500000000000001,0.029999999999999992
11,tier1,high,0.03,0.2,0.967183275706062,0.7208422288947046,-0.20000000000000012,0.029999999999999978
