bank,base,cell_index,kind,order,n,pi_label,target_depth,replicate,seed
validation,257841043574753,0,construction_null,2,128,low,0.0,0,3386763549
validation,257841043574753,0,construction_null,2,128,low,0.0,1,2769014435
validation,257841043574753,0,construction_null,2,128,low,0.0,2,2168297421
validation,257841043574753,0,construction_null,2,128,low,0.0,3,537843933
validation,257841043574753,0,construction_null,2,128,low,0.0,4,2626024802
validation,257841043574753,0,construction_null,2,128,low,0.0,5,3225853316
validation,257841043574753,0,construction_null,2,128,low,0.0,6,1779470158
validation,257841043574753,0,construction_null,2,128,low,0.0,7,3020249437
validation,257841043574753,0,construction_null,2,128,low,0.0,8,3174809388
validation,257841043574753,0,construction_null,2,128,low,0.0,9,1119734360
validation,257841043574753,0,construction_null,2,128,low,0.0,10,1689191171
validation,257841043574753,0,construction_null,2,128,low,0.0,11,2417360503
validation,257841043574753,0,construction_null,2,128,low,0.0,12,1991118842
validation,257841043574753,0,construction_null,2,128,low,0.0,13,4042090989
validation,257841043574753,0,construction_null,2,128,low,0.0,14,3831213107
validation,257841043574753,0,construction_null,2,128,low,0.0,15,3632650341
validation,257841043574753,0,construction_null,2,128,low,0.0,16,2456880536
validation,257841043574753,0,construction_null,2,128,low,0.0,17,2763539105
validation,257841043574753,0,construction_null,2,128,low,0.0,18,3226590065
validation,257841043574753,0,construction_null,2,128,low,0.0,19,766783125
validation,257841043574753,0,construction_null,2,128,low,0.0,20,3143229425
validation,257841043574753,0,construction_null,2,128,low,0.0,21,4079841145
validation,257841043574753,0,construction_null,2,128,low,0.0,22,3111266085
validation,257841043574753,0,construction_null,2,128,low,0.0,23,2462144279
validation,257841043574753,0,construction_null,2,128,low,0.0,24,790932401
validation,257841043574753,0,construction_null,2,128,low,0.0,25,1327795877
validation,257841043574753,0,construction_null,2,128,low,0.0,26,2312848493
validation,257841043574753,0,construction_null,2,128,low,0.0,27,393631694
validation,257841043574753,0,construction_null,2,128,low,0.0,28,3846617452
validation,257841043574753,0,construction_null,2,128,low,0.0,29,792165423
validation,257841043574753,0,construction_null,2,128,low,0.0,30,1673384969
validation,257841043574753,0,construction_null,2,128,low,0.0,31,2244348472
validation,257841043574753,0,construction_null,2,128,low,0.0,32,1681822024
validation,257841043574753,0,construction_null,2,128,low,0.0,33,1616863861
validation,257841043574753,0,construction_null,2,128,low,0.0,34,4072549546
validation,257841043574753,0,construction_null,2,128,low,0.0,35,2255175858
validation,257841043574753,0,construction_null,2,128,low,0.0,36,98680837
validation,257841043574753,0,construction_null,2,128,low,0.0,37,965555450
validation,257841043574753,0,construction_null,2,128,low,0.0,38,1356985679
validation,257841043574753,0,construction_null,2,128,low,0.0,39,3349540025
validation,257841043574753,0,construction_null,2,128,low,0.0,40,3628352990
validation,257841043574753,0,construction_null,2,128,low,0.0,41,4043052501
validation,257841043574753,0,construction_null,2,128,low,0.0,42,245468216
validation,257841043574753,0,construction_null,2,128,low,0.0,43,4159228003
validation,257841043574753,0,construction_null,2,128,low,0.0,44,2049047169
validation,257841043574753,0,construction_null,2,128,low,0.0,45,3385925474
validation,257841043574753,0,construction_null,2,128,low,0.0,46,1880545139
validation,257841043574753,0,construction_null,2,128,low,0.0,47,3921466880
validation,257841043574753,0,construction_null,2,128,low,0.0,48,1103414035
validation,257841043574753,0,construction_null,2,128,low,0.0,49,2847402589
validation,257841043574753,0,construction_null,2,128,low,0.0,50,690418155
validation,257841043574753,0,construction_null,2,128,low,0.0,51,2557767110
validation,257841043574753,0,construction_null,2,128,low,0.0,52,2989383163
validation,257841043574753,0,construction_null,2,128,low,0.0,53,3132884267
validation,257841043574753,0,construction_null,2,128,low,0.0,54,1365624965
validation,257841043574753,0,construction_null,2,128,low,0.0,55,379269057
validation,257841043574753,0,construction_null,2,128,low,0.0,56,900410341
validation,257841043574753,0,construction_null,2,128,low,0.0,57,3663802729
validation,257841043574753,0,construction_null,2,128,low,0.0,58,3760892457
validation,257841043574753,0,construction_null,2,128,low,0.0,59,719891043
validation,257841043574753,0,construction_null,2,128,low,0.0,60,3834839806
validation,257841043574753,0,construction_null,2,128,low,0.0,61,1789111633
validation,257841043574753,0,construction_null,2,128,low,0.0,62,2181792986
validation,257841043574753,0,construction_null,2,128,low,0.0,63,1925963121
validation,257841043574753,0,construction_null,2,128,low,0.0,64,2570008851
validation,257841043574753,0,construction_null,2,128,low,0.0,65,4143021542
validation,257841043574753,0,construction_null,2,128,low,0.0,66,1378856499
validation,257841043574753,0,construction_null,2,128,low,0.0,67,2173644293
validation,257841043574753,0,construction_null,2,128,low,0.0,68,3619418965
validation,257841043574753,0,construction_null,2,128,low,0.0,69,166428610
validation,257841043574753,0,construction_null,2,128,low,0.0,70,89984452
validation,257841043574753,0,construction_null,2,128,low,0.0,71,3574840766
validation,257841043574753,0,construction_null,2,128,low,0.0,72,1274205368
validation,257841043574753,0,construction_null,2,128,low,0.0,73,2718543834
validation,257841043574753,0,construction_null,2,128,low,0.0,74,3765246750
validation,257841043574753,0,construction_null,2,128,low,0.0,75,2324496902
validation,257841043574753,0,construction_null,2,128,low,0.0,76,3037653386
validation,257841043574753,0,construction_null,2,128,low,0.0,77,497537117
validation,257841043574753,0,construction_null,2,128,low,0.0,78,415418867
validation,257841043574753,0,construction_null,2,128,low,0.0,79,2778875876
validation,257841043574753,0,construction_null,2,128,low,0.0,80,2277897913
validation,257841043574753,0,construction_null,2,128,low,0.0,81,2120005914
validation,257841043574753,0,construction_null,2,128,low,0.0,82,1765358071
validation,257841043574753,0,construction_null,2,128,low,0.0,83,2886626641
validation,257841043574753,0,construction_null,2,128,low,0.0,84,2279824620
validation,257841043574753,0,construction_null,2,128,low,0.0,85,2047243685
validation,257841043574753,0,construction_null,2,128,low,0.0,86,3253805314
validation,257841043574753,0,construction_null,2,128,low,0.0,87,731101129
validation,257841043574753,0,construction_null,2,128,low,0.0,88,1252287294
validation,257841043574753,0,construction_null,2,128,low,0.0,89,337108829
validation,257841043574753,0,construction_null,2,128,low,0.0,90,2535550797
validation,257841043574753,0,construction_null,2,128,low,0.0,91,3043758805
validation,257841043574753,0,construction_null,2,128,low,0.0,92,2243357650
validation,257841043574753,0,construction_null,2,128,low,0.0,93,3378269548
validation,257841043574753,0,construction_null,2,128,low,0.0,94,2809440423
validation,257841043574753,0,construction_null,2,128,low,0.0,95,211355401
validation,257841043574753,0,construction_null,2,128,low,0.0,96,2773390051
validation,257841043574753,0,construction_null,2,128,low,0.0,97,124493249
validation,257841043574753,0,construction_null,2,128,low,0.0,98,2417107565
validation,257841043574753,0,construction_null,2,128,low,0.0,99,1606530297
validation,257841043574753,0,construction_null,2,128,low,0.0,100,896226425
validation,257841043574753,0,construction_null,2,128,low,0.0,101,10348625
validation,257841043574753,0,construction_null,2,128,low,0.0,102,2558334954
validation,257841043574753,0,construction_null,2,128,low,0.0,103,551636804
validation,257841043574753,0,construction_null,2,128,low,0.0,104,3764364937
validation,257841043574753,0,construction_null,2,128,low,0.0,105,2215105005
validation,257841043574753,0,construction_null,2,128,low,0.0,106,214536297
validation,257841043574753,0,construction_null,2,128,low,0.0,107,2503175477
validation,257841043574753,0,construction_null,2,128,low,0.0,108,2650914190
validation,257841043574753,0,construction_null,2,128,low,0.0,109,312270489
validation,257841043574753,0,construction_null,2,128,low,0.0,110,112390956
validation,257841043574753,0,construction_null,2,128,low,0.0,111,464274983
validation,257841043574753,0,construction_null,2,128,low,0.0,112,3253968874
validation,257841043574753,0,construction_null,2,128,low,0.0,113,2320614944
validation,257841043574753,0,construction_null,2,128,low,0.0,114,835247877
validation,257841043574753,0,construction_null,2,128,low,0.0,115,4194415807
validation,257841043574753,0,construction_null,2,128,low,0.0,116,3846085206
validation,257841043574753,0,construction_null,2,128,low,0.0,117,218206725
validation,257841043574753,0,construction_null,2,128,low,0.0,118,3628078126
validation,257841043574753,0,construction_null,2,128,low,0.0,119,781208192
validation,257841043574753,0,construction_null,2,128,low,0.0,120,3876343041
validation,257841043574753,0,construction_null,2,128,low,0.0,121,2941301975
validation,257841043574753,0,construction_null,2,128,low,0.0,122,2310664165
validation,257841043574753,0,construction_null,2,128,low,0.0,123,719883824
validation,257841043574753,0,construction_null,2,128,low,0.0,124,3142072736
validation,257841043574753,0,construction_null,2,128,low,0.0,125,2854251024
validation,257841043574753,0,construction_null,2,128,low,0.0,126,2637170223
validation,257841043574753,0,construction_null,2,128,low,0.0,127,158403975
validation,257841043574753,0,construction_null,2,128,low,0.0,128,3401964679
validation,257841043574753,0,construction_null,2,128,low,0.0,129,3159667724
validation,257841043574753,0,construction_null,2,128,low,0.0,130,2204514602
validation,257841043574753,0,construction_null,2,128,low,0.0,131,421712379
validation,257841043574753,0,construction_null,2,128,low,0.0,132,56199079
validation,257841043574753,0,construction_null,2,128,low,0.0,133,31572134
validation,257841043574753,0,construction_null,2,128,low,0.0,134,3267359001
validation,257841043574753,0,construction_null,2,128,low,0.0,135,4026816734
